belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Goal! Collection,3,27610873.0,9203624.333333334
National Lampoon’s Van Wilder Collection,3,44361991.0,14787330.333333334
Pusher Collection,3,0.0,0.0
Legally Blonde Collection,3,266689521.0,88896507.0
Robert Langdon Collection,3,1344455157.0,448151719.0
The Adventures of Erast Fandorin,3,0.0,0.0
Parent Trap Collection,3,0.0,0.0
The Apu Collection,3,722579.0,240859.66666666666
The Art of War Collection,3,30199105.0,10066368.333333334
Naked Collection,3,0.0,0.0
The BRD Collection,3,0.0,0.0
Lucky Stars Collection,3,0.0,0.0
Naked Gun Collection,3,216819186.0,72273062.0
Green Street Hooligans Collection,3,3154346.0,1051448.6666666667
Golmaal Collection,3,0.0,0.0
Robot Jox Collection,3,0.0,0.0
The Bad New Bears Collection,3,54427642.0,18142547.333333332
Nativity Collection,3,0.0,0.0
Gourmet Detective Collection,3,0.0,0.0
Paradise Trilogy,3,37476.0,12492.0
Paradise Lost Collection,3,0.0,0.0
"Pane, amore e… - Collezione",3,0.0,0.0
The Blind Dead Collection,3,0.0,0.0
Left Behind Collection,3,0.0,0.0
The Brave Little Toaster Collection,3,0.0,0.0
Ghostbusters Collection,3,739754714.0,246584904.66666666
Lone Wolf film series,3,0.0,0.0
French Fried Vacation,3,0.0,0.0
Saints and Soldiers Collection,3,0.0,0.0
Rugrats Collection,3,100491786.0,33497262.0
Sailor Moon Collection,3,0.0,0.0
Free Willy Collection,3,153698625.0,51232875.0
The Dark Knight Collection,3,2463716216.0,821238738.6666666
Not Quite Human Collection,3,0.0,0.0
Ong Bak Collection,3,11277041.0,3759013.6666666665
The Delta Force Collection,3,24467261.0,8155753.666666667
One Piece Collection,3,119207073.0,39735691.0
Friday Collection,3,121570081.0,40523360.333333336
The Disappearance Of Eleanor Rigby,3,985007.0,328335.6666666667
S.W.A.T. Collection,3,116643346.0,38881115.333333336
Rush Hour Collection,3,849734899.0,283244966.3333333
Ocean's Collection,3,1124774054.0,374924684.6666667
Living Trilogy,3,0.0,0.0
"Oh, God! Collection",3,41687243.0,13895747.666666666
Rurouni Kenshin Live-Action Collection,3,61700000.0,20566666.666666668
Flodder Collection,3,0.0,0.0
The Elusive Revengers Collection,3,0.0,0.0
"No Retreat, No Surrender Collection",3,4770291.0,1590097.0
Oskar Luts Collection,3,0.0,0.0
Naval Cadets Collection,3,0.0,0.0
The Cabin Fever Collection,3,30553394.0,10184464.666666666
Overheard Collection,3,0.0,0.0
Never Back Down Collection,3,41627431.0,13875810.333333334
Ghost in the Shell Collection,3,12077365.0,4025788.3333333335
Outpost Collection,3,0.0,0.0
Screwballs Collection,3,0.0,0.0
Night at the Museum Collection,3,1337011293.0,445670431.0
Night of the Demons Collection,3,3109904.0,1036634.6666666666
Otto Collection,3,0.0,0.0
The Butterfly Effect Collection,3,96060858.0,32020286.0
Garfield (Animation) Collection,3,0.0,0.0
The Cremaster Cycle,3,0.0,0.0
The Cheetah Girls Collection,3,0.0,0.0
The Chronicles of Narnia Collection,3,1584144587.0,528048195.6666667
Look Who's Talking Collection,3,296000000.0,98666666.66666667
"Sarah, Plain and Tall Collection",3,0.0,0.0
Samurai Trilogy,3,7338987.0,2446329.0
The Complete Monterey Pop Festival,3,0.0,0.0
