belongs_to_collection,nro_peliculas,total_revenue,average_revenue
"All inclusive, или все включено (Коллекция)",2,0.0,0.0
Lucky Luke (Animation) Collection,2,0.0,0.0
M.D. Geist Collection,2,0.0,0.0
MVP,2,0.0,0.0
Ma and Pa Kettle Collection,2,0.0,0.0
MacGyver (TV Movies) Collection,2,0.0,0.0
A Few Best Men Collection,2,29131311.0,14565655.5
A Christmas Story Collection,2,19294144.0,9647072.0
Les Tuche,2,0.0,0.0
Nick Carter Collection,2,0.0,0.0
My Wife is a Gangster Collection,2,0.0,0.0
28 Days/Weeks Later Collection,2,146958325.0,73479162.5
Nanny McPhee Collection,2,215736210.0,107868105.0
Napapiirin sankarit,2,0.0,0.0
National Treasure Collection,2,804815062.0,402407531.0
Navarone Collection,2,36130000.0,18065000.0
Neighbors Collection,2,376915921.0,188457960.5
2 Days In... Collection,2,21429951.0,10714975.5
Nekromantik Collection,2,0.0,0.0
New Kids Collection,2,8786756.0,4393378.0
Niko - Coleccion,2,17000000.0,8500000.0
Mickey's Upon a Christmas Collection,2,0.0,0.0
Nim's Island Collection,2,100076342.0,50038171.0
Ninja Collection,2,0.0,0.0
1920 Collection,2,0.0,0.0
101 Dalmatians (Live-Action) Collection,2,504301065.0,252150532.5
Nobody Collection,2,0.0,0.0
101 Dalmatians (Animated) Collection,2,215880014.0,107940007.0
Now You See Me Collection,2,452600231.0,226300115.5
OSS 117 Collection,2,0.0,0.0
100 Girls Collection,2,0.0,0.0
Ocho apellidos - Colección,2,0.0,0.0
3 Men Collection,2,0.0,0.0
My Mom is a Character Collection,2,0.0,0.0
My Girl Collection,2,0.0,0.0
My Friends Collection,2,0.0,0.0
9½ Weeks Collection,2,6735922.0,3367961.0
976-EVIL Collection,2,2955917.0,1477958.5
Mirrors Collection,2,72436439.0,36218219.5
Miss Congeniality Collection,2,212000000.0,106000000.0
Mister Blot Collection,2,0.0,0.0
Mobile Suit Gundam Collection,2,0.0,0.0
8MM Collection,2,96618699.0,48309349.5
Mommies Collection,2,11666088.0,5833044.0
48 Hrs. Collection,2,232387482.0,116193741.0
Monsters Collection,2,4242978.0,2121489.0
Mortal Kombat Collection,2,173572781.0,86786390.5
Moskva-Kassiopeya Collection,2,0.0,0.0
Mountain Family Robinson Collection,2,0.0,0.0
Mr. Bean Collection,2,480949014.0,240474507.0
300 Collection,2,760190470.0,380095235.0
30 Days of Night Collection,2,75505973.0,37752986.5
Mr. Vampire Collection,2,0.0,0.0
Mulan Collection,2,304320254.0,152160127.0
Munna Bhai Collection,2,0.0,0.0
My Big Fat Greek Wedding Collection,2,457667295.0,228833647.5
My Bloody Valentine Collection,2,100734718.0,50367359.0
American Graffiti Collection,2,155014674.0,77507337.0
Dark Planet Collection,2,27708716.0,13854358.0
La cage aux folles,2,27374384.0,13687192.0
La trilogie de la mort – Nacho Cerda,2,0.0,0.0
Bad Boys Collection,2,414746580.0,207373290.0
Azumi Collection,2,0.0,0.0
Kill Bill Collection,2,333108461.0,166554230.5
Annie Collection,2,57059003.0,28529501.5
Laid to Rest Collection,2,0.0,0.0
Lady and the Tramp Collection,2,93600000.0,46800000.0
Kiler Collection,2,0.0,0.0
Bachelor Party Collection,2,38435947.0,19217973.5
Karlson Collection,2,0.0,0.0
Klovn,2,0.0,0.0
Babysitting,2,0.0,0.0
Another Gay Movie Collection,2,745327.0,372663.5
King Kong (1976 series),2,95325665.0,47662832.5
Les Mystères de l'ouest (Collection),2,0.0,0.0
Kidulthood Collection,2,165000.0,82500.0
Kokowääh Filmreihe,2,43000000.0,21500000.0
Baby Burlesks,2,0.0,0.0
Korengal Valley Documentaries,2,1422910.0,711455.0
Antboy Collection,2,0.0,0.0
Kick-Ass Collection,2,156888903.0,78444451.5
Kenny Rogers Legend Of The Gambler,2,0.0,0.0
Keinohrhasen Filmreihe,2,130023447.0,65011723.5
La Classe Américaine & Cie,2,0.0,0.0
Ants in the Pants Collection,2,0.0,0.0
Babe Collection,2,323266770.0,161633385.0
L'allenatore nel pallone - Collezione,2,10743767.0,5371883.5
Largo Winch Collection,2,0.0,0.0
Klassefesten (Samling),2,0.0,0.0
Bahubali Collection,2,330000000.0,165000000.0
Anglo-Zulu War Collection,2,8000000.0,4000000.0
King of the Zombies Collection,2,0.0,0.0
American Psycho Collection,2,34266564.0,17133282.0
King Kong (1933 series),2,10000000.0,5000000.0
John Wick Collection,2,260301548.0,130150774.0
Kindergarten Cop Collection,2,201957688.0,100978844.0
Analyze Collection,2,231888793.0,115944396.5
Johnny English Collection,2,320661604.0,160330802.0
Atlantis Collection,2,186053725.0,93026862.5
Johnny Tsunami Collection,2,0.0,0.0
Leningrad Cowboys Collection,2,0.0,0.0
Arthur Collection,2,110142874.0,55071437.0
Anche gli angeli - Collezione,2,0.0,0.0
Arn collection,2,0.0,0.0
Kusswechsel Filmreihe,2,0.0,0.0
Attack on Titan Collection,2,0.0,0.0
Lavalantula Collection,2,0.0,0.0
Bad Kids Collection,2,0.0,0.0
Jump Street Collection,2,390026942.0,195013471.0
Animation Runner Kuromi (OAV collection),2,0.0,0.0
Bad Santa Collection,2,94271067.0,47135533.5
Kirikou,2,0.0,0.0
Journey Collection,2,457394820.0,228697410.0
Le Cœur des Hommes,2,0.0,0.0
Beck - Historien om ett brott,1,0.0,0.0
The Sister Street Fighter Collection,1,0.0,0.0
Avatar Collection,1,2787965087.0,2787965087.0
Barney Collection,1,0.0,0.0
Aurélie Laflamme Collection,1,0.0,0.0
Classmates Collection,1,0.0,0.0
The Secret Life of Pets Collection,1,875457937.0,875457937.0
The Six Million Dollar Man Collection,1,0.0,0.0
Cleopatra Jones,1,0.0,0.0
Bats Collection,1,10.0,10.0
Zipi y Zape - Colección,1,0.0,0.0
Cirque du Soleil Collection,1,34153101.0,34153101.0
Zebraman Collection,1,0.0,0.0
Zero Woman Collection,1,0.0,0.0
Ur kärlekens språk,1,0.0,0.0
Warriors of Virtue Collection,1,0.0,0.0
Zombi Collection,1,0.0,0.0
Параграф 78 - Дилогия,1,0.0,0.0
The Pub Landlord Collection,1,0.0,0.0
Umizaru Collection,1,0.0,0.0
Cyborg 009 Collection,1,0.0,0.0
Turkish Star Wars,1,0.0,0.0
Никто не знает про секс - Коллекция,1,0.0,0.0
DMB Collection,1,0.0,0.0
The Postman Collection,1,17626234.0,17626234.0
Зимняя Вишня (трилогия),1,0.0,0.0
Täällä Pohjantähden alla (Timo Koivusalo),1,0.0,0.0
Сказки Чуковского,1,0.0,0.0
Чебурашка и крокодил Гена,1,0.0,0.0
U Pana Boga Collection,1,0.0,0.0
08/15 Collection,1,0.0,0.0
Daddy's Home Collection,1,242786137.0,242786137.0
CyberTracker Collection,1,0.0,0.0
Tulse Luper,1,25800.0,25800.0
3 Men (Original) Collection,1,2052466.0,2052466.0
Çalgı Çengi Collection,1,0.0,0.0
Cold War Collection,1,0.0,0.0
Constantine Collection,1,230884728.0,230884728.0
Zu Warriors Collection,1,0.0,0.0
The Sally Lochhart Mysteries Collection,1,0.0,0.0
2001 Maniacs Collection,1,0.0,0.0
Åsa-Nisse Collection,1,0.0,0.0
Şevkat Yerimdar Serisi,1,0.0,0.0
Bang Rajan Collection,1,0.0,0.0
Trinità  Collection,1,0.0,0.0
Алиса в стране чудес (Коллекция),1,0.0,0.0
Cross Collection,1,0.0,0.0
The Reef Collection,1,0.0,0.0
Truth in 24 Collection,1,0.0,0.0
Горько! (Коллекция),1,0.0,0.0
Begotten Collection,1,0.0,0.0
The Spiritual Boxer Collection,1,0.0,0.0
Chinese Boxer Collection,1,0.0,0.0
The Wixxer Trilogy,1,0.0,0.0
Anja & Viktor Collection,1,0.0,0.0
Waldemar Daninsky Collection,1,0.0,0.0
White Collar Hooligan Collection,1,0.0,0.0
Till Luck Do Us Part Collection,1,1672940.0,1672940.0
Annabelle Collection,1,255273813.0,255273813.0
White Crane Chronicles,1,0.0,0.0
Blade Runner Collection,1,33139618.0,33139618.0
All for ...,1,0.0,0.0
Adventures of a ...,1,0.0,0.0
Viy Collection,1,34592118.0,34592118.0
Wild Orchid Collection,1,0.0,0.0
Alan Davies Collection,1,0.0,0.0
The Waxwork Collection,1,808114.0,808114.0
Black Magic Collection,1,0.0,0.0
The Water of the Hills,1,0.0,0.0
Black & White Collection,1,0.0,0.0
All of My Heart Collection,1,0.0,0.0
Allan Quatermain (1950 series),1,0.0,0.0
Aniskin Collection,1,0.0,0.0
Thunder in Paradise Collection,1,0.0,0.0
Warriors of the Rainbow: The Seediq Bale Saga,1,0.0,0.0
This is England Collection,1,8176544.0,8176544.0
American Addict Collection,1,0.0,0.0
They Call Me Bruce Collection,1,16894678.0,16894678.0
Thermae Romae Collection,1,0.0,0.0
Always: Sunset on Third Street Collection,1,33053559.0,33053559.0
Anatomy Collection,1,0.0,0.0
Boston Blackie Series,1,0.0,0.0
We're the Millers Collection,1,269994119.0,269994119.0
Wanted - Collection,1,258270008.0,258270008.0
Welcome Collection,1,36500000.0,36500000.0
Angelique Collection,1,0.0,0.0
Bloodfist Collection,1,0.0,0.0
Bloodfight,1,0.0,0.0
Blood Island (Hammer series),1,0.0,0.0
Vi hade i alla fall tur med vädret Collection,1,0.0,0.0
Cabin By The Lake Collection,1,0.0,0.0
China O'Brien Collection,1,0.0,0.0
Vai Que Dá Certo,1,0.0,0.0
Chaar Sahibzaade Collection,1,0.0,0.0
Wreck-It Ralph Collection,1,471222889.0,471222889.0
Valami Amerika gyűjtemény,1,0.0,0.0
The Storm Riders Collection,1,0.0,0.0
Tomie Collection,1,0.0,0.0
Tomtar och Trolltyg Collection,1,0.0,0.0
Yamakasi - Collection,1,0.0,0.0
Yamla Pagla Deewana,1,0.0,0.0
Ant-Man Collection,1,519311965.0,519311965.0
You Got Served Collection,1,0.0,0.0
Young And Dangerous Collection,1,0.0,0.0
Art of the Devil Collection,1,0.0,0.0
The South Shaolin Master Collection,1,0.0,0.0
Assassination Classroom Collection,1,0.0,0.0
Zanna Bianca Collection,1,0.0,0.0
The Snowman Collection,1,0.0,0.0
Vampire Boys Collection,1,0.0,0.0
Armitage III Collection,1,0.0,0.0
The Sweeney Collection,1,0.0,0.0
Argo Collection,1,0.0,0.0
Ada Apa Dengan Cinta? Collection,1,0.0,0.0
The Under-Gifted Collection,1,0.0,0.0
Tokyo Decadence series,1,0.0,0.0
Action Pack Bandit Films Collection,1,0.0,0.0
Aces Go Places Collection,1,0.0,0.0
Aashiqui Collection,1,16000000.0,16000000.0
Caméra Café,1,0.0,0.0
Caprinos Eventyrlige Verden,1,0.0,0.0
Wodehouse P.G. Collection,1,0.0,0.0
Wolf Warriors Collection,1,80000000.0,80000000.0
Wonder Woman Collection,1,820580447.0,820580447.0
Apocalypse Collection,1,0.0,0.0
ABCD Collection,1,222000.0,222000.0
World War Z Collection,1,531865000.0,531865000.0
Arabian Nights,1,0.0,0.0
All Hallow's Eve Collection,1,0.0,0.0
Olsen Banden (Samling),1,0.0,0.0
Dark Rising Collection,1,0.0,0.0
La Tour Infernale,1,0.0,0.0
Lady Snowblood Collection,1,0.0,0.0
Seed Collection,1,0.0,0.0
Lammbock Collection,1,0.0,0.0
Lamù Collection,1,0.0,0.0
LasseMaja: Samling,1,0.0,0.0
Schule Collection,1,0.0,0.0
Lauras Stern,1,0.0,0.0
Sağ Salim Serisi,1,0.0,0.0
Lee Rock Collection,1,0.0,0.0
Legends of the Poisonous Seductress,1,0.0,0.0
Lemmy Caution Collection,1,0.0,0.0
Lemon Popsicle Collection,1,0.0,0.0
Les Boys,1,0.0,0.0
Les Charlots - Saga,1,0.0,0.0
Santa's Apprentice,1,0.0,0.0
Les Profs,1,0.0,0.0
Letters to Santa Collection,1,0.0,0.0
Sami Swoi Collection,1,0.0,0.0
Salt and Pepper Collection,1,0.0,0.0
Lezioni di Cioccolato Collection,1,0.0,0.0
Sadako 3D Collection,1,0.0,0.0
Sabrina the Teenage Witch Collection,1,0.0,0.0
Little Bear,1,0.0,0.0
Long Arm of the Law Collection,1,0.0,0.0
Los Leguineche - Colección,1,1622164.0,1622164.0
Romantik Komedi [Seri],1,0.0,0.0
Robotech (Samling),1,0.0,0.0
Lovey-Dovey Collection,1,0.0,0.0
Robot Chicken: Star Wars Collection,1,0.0,0.0
Sex Up Filmreihe,1,0.0,0.0
Sex is Zero Collection,1,0.0,0.0
Inuyasha Collection,1,0.0,0.0
Shadow Warriors,1,0.0,0.0
Isi/Disi Collection,1,0.0,0.0
Ivan Brovkin Collection,1,0.0,0.0
Spirits' Homecoming Collection,1,0.0,0.0
Joséphine - Saga,1,0.0,0.0
Journey to the West Collection,1,0.0,0.0
Snake Eater Collection,1,0.0,0.0
K3 Collectie,1,0.0,0.0
Karas The Collection,1,0.0,0.0
Slime City Collection,1,0.0,0.0
Kathleen Madigan Collection,1,0.0,0.0
Kati Collection,1,0.0,0.0
Kenji Misumi's Trilogy of the Sword,1,0.0,0.0
Skeleton Key Collection,1,0.0,0.0
Six Swedes Collection,1,0.0,0.0
Kill Buljo Collection,1,0.0,0.0
Singam Collection,1,9700000.0,9700000.0
Killer Crocodile Collection,1,0.0,0.0
Kim Possible Collection,1,0.0,0.0
Sides of the Bed,1,0.0,0.0
Kingsman Collection,1,414351546.0,414351546.0
Showgirls Collection,1,20350754.0,20350754.0
Short Peace,1,0.0,0.0
Shin Chan Collection,1,0.0,0.0
Kleines Arschloch Collection,1,0.0,0.0
Knerten Collection,1,0.0,0.0
Kocan Kadar Konuş Serisi,1,0.0,0.0
Kolpaçino Serisi,1,0.0,0.0
Krummerne (Samling),1,0.0,0.0
Kung Fu Mahjong Collection,1,0.0,0.0
Lucky Luke (Terence Hill) Collection,1,0.0,0.0
Road House Collection,1,30050028.0,30050028.0
Macon County Collection,1,0.0,0.0
Ring of Fire Collection,1,0.0,0.0
Mods Collection,1,0.0,0.0
Mondo Cane Collection,1,0.0,0.0
00 Schneider Filmreihe,1,0.0,0.0
Mr. Bones Collection,1,0.0,0.0
Mr. Boogedy Collection,1,0.0,0.0
Mrs. Miracle Collection,1,0.0,0.0
Pierino - Serie ufficiale,1,0.0,0.0
My Sassy Girl Collection,1,0.0,0.0
My Sisters Kids Collection,1,0.0,0.0
Pekko aikamiespoika Collection,1,0.0,0.0
Mystery Woman,1,0.0,0.0
Mörderischer Norden,1,0.0,0.0
NASU Collection,1,0.0,0.0
Nadodikkattu Collection,1,0.0,0.0
Naked Fear Collection,1,0.0,0.0
Nana Collection,1,0.0,0.0
Papa ou Maman Collection,1,0.0,0.0
Pacific Rim Collection,1,407602906.0,407602906.0
PTU Collection,1,0.0,0.0
Nevada Smith Collection,1,0.0,0.0
Ostwind Filmreihe,1,0.0,0.0
Ninjas vs. Collection,1,0.0,0.0
Nitro Collection,1,0.0,0.0
No Good Middle-Aged Yakuza Trilogy,1,0.0,0.0
Northpole,1,0.0,0.0
Nymphomaniac Collection,1,2227167.0,2227167.0
Once were Warriors Collection,1,2201126.0,2201126.0
OSS 117 The Original Saga,1,0.0,0.0
Old Way Collection,1,0.0,0.0
Mister Roberts Collection,1,0.0,0.0
Prep & Landing Collection,1,0.0,0.0
Minions: 3 Mini-Movie Collection,1,0.0,0.0
Rakht Charitra,1,0.0,0.0
Macross Frontier Collection,1,0.0,0.0
"Rico, Oskar 1, 2 & 3",1,0.0,0.0
Richie Rich Collection,1,0.0,0.0
Richard the Lionheart Collection,1,0.0,0.0
Macskafogó gyűjtemény,1,0.0,0.0
Madeline,1,0.0,0.0
Magic Kid Collection,1,0.0,0.0
Regalo di Natale - Collezione,1,0.0,0.0
Red Lotus Collection,1,0.0,0.0
Mamma Mia! Collection,1,609841637.0,609841637.0
Mandıra Filozofu Serisi,1,0.0,0.0
Rare Exports Collection,1,0.0,0.0
Mann Filmreihe,1,0.0,0.0
Race Gurram collection,1,0.0,0.0
Miles Jupp Standup Collection,1,0.0,0.0
Raaz Collection,1,0.0,0.0
"Maria, ihm schmeckt's nicht!",1,0.0,0.0
Martial Law Collection,1,0.0,0.0
Quando le donne avevano la coda,1,0.0,0.0
Puss 'n Boots Collection,1,0.0,0.0
Max (Collection),1,43967255.0,43967255.0
Puff Collection,1,0.0,0.0
Memories Collection,1,0.0,0.0
Public Enemy Series,1,0.0,0.0
Meu Passado me Condena,1,0.0,0.0
Mi Nismo Anđeli Collection,1,0.0,0.0
Midnight Diner Collection,1,0.0,0.0
Mikogami Trilogy / Wanderer Jôkichi,1,0.0,0.0
Iron Sky Collection,1,8135031.0,8135031.0
In the Vineyard Collection,1,0.0,0.0
Dead in Tombstone Collection,1,0.0,0.0
Eccezzziunale... veramente Collections,1,0.0,0.0
The Hobgoblin Collection,1,0.0,0.0
Elvira Collection,1,5596267.0,5596267.0
Emmanuelle 2000 Collections (USA),1,0.0,0.0
Encounters of the Spooky Kind Collection,1,731753.0,731753.0
The Heroic Trio Collection,1,0.0,0.0
Erotic Ghost Story Collection,1,0.0,0.0
Ex Collection,1,0.0,0.0
Extralarge Collection,1,0.0,0.0
F.C. De Kampioenen Collectie,1,7471304.0,7471304.0
Fallen Collection,1,0.0,0.0
Fantastic Beasts Collection,1,809342332.0,809342332.0
Fanthagirò Collection,1,0.0,0.0
The Frogtown Collection,1,0.0,0.0
Fast Getaway Collection,1,0.0,0.0
The Four Collection,1,0.0,0.0
Fatal Fury Collection,1,0.0,0.0
Father Flanagan Collection,1,0.0,0.0
Father and Guns Collection,1,0.0,0.0
Father of Four Collection,1,0.0,0.0
Fear Collection,1,0.0,0.0
The Falls Collection,1,0.0,0.0
The Exterminator Collection,1,0.0,0.0
Fight Back to School Collection,1,0.0,0.0
The Encounter Collection,1,0.0,0.0
Flatland Collection,1,0.0,0.0
Omae Umasou Da na,1,0.0,0.0
The Dog Who Saved Christmas Collection,1,0.0,0.0
Flower & Snake Collection,1,0.0,0.0
Flower Shop Mystery Collection,1,0.0,0.0
The Houses October Built Collection,1,0.0,0.0
Eberhofer Krimi Collection,1,0.0,0.0
Star Wreck Collection,1,0.0,0.0
The Incredibles Collection,1,631442092.0,631442092.0
The Nut Job Collection,1,0.0,0.0
The Nigger Charley Collection,1,0.0,0.0
Deadly Prey Collection,1,0.0,0.0
Deadpool Collection,1,783112979.0,783112979.0
Death Note Relight,1,0.0,0.0
The Monkey King Collection,1,0.0,0.0
The Modesty Blaise Collection,1,0.0,0.0
Der Bockerer Collection,1,0.0,0.0
Destricted,1,0.0,0.0
Detonator Collection,1,0.0,0.0
The Mark Collection,1,0.0,0.0
The Mangler Collection,1,0.0,0.0
Devasuram Collection,1,0.0,0.0
The Man from Earth Collection,1,0.0,0.0
Die Kirche bleibt im Dorf Collection,1,0.0,0.0
Die Nibelungen Filmreihe,1,0.0,0.0
Digimon Collection,1,0.0,0.0
Disneys Große Pause,1,44460850.0,44460850.0
Dixie Zombi - Colección,1,0.0,0.0
Don't Go Breaking My Heart Collection,1,0.0,0.0
Doraemon Collection,1,83061158.0,83061158.0
Dr. Mabuse Collection,1,0.0,0.0
The Krays Collection,1,0.0,0.0
Dragon Nest Collection,1,0.0,0.0
The Joys of Torture Series,1,0.0,0.0
Dreileben,1,0.0,0.0
Ducobu Collection,1,0.0,0.0
Düğün Dernek Collection,1,0.0,0.0
East Side Kids,1,0.0,0.0
Flower and Snake Collection,1,0.0,0.0
The Devil's Carnival Collection,1,0.0,0.0
The Desert Collection,1,0.0,0.0
Fontaine Khaled Collection,1,0.0,0.0
Heidi (Praesens-Film) Filmreihe,1,0.0,0.0
Hentai Kamen Collection,1,0.0,0.0
Tarzan (Mike Henry series),1,0.0,0.0
Hopalong Cassidy films,1,0.0,0.0
Tales From The Dark Collection,1,0.0,0.0
Horror High Collection,1,0.0,0.0
Takashi Miike's Young Thugs series,1,0.0,0.0
Takashi Miike's Black Society Trilogy,1,0.0,0.0
Tainá,1,0.0,0.0
Tada's Do-It-All Collection,1,0.0,0.0
Hot Wheels: AcceleRacers - Collection,1,0.0,0.0
Swordsman Collection,1,0.0,0.0
House of Angels Collection,1,0.0,0.0
Surf's Up Collection,1,149044513.0,149044513.0
Superman (DC Universe Animated) Collection,1,0.0,0.0
Super Troopers Collection,1,18492362.0,18492362.0
Super Size Me Collection,1,28575078.0,28575078.0
How I Unleashed World War II,1,0.0,0.0
I Love a Mystery movie series,1,0.0,0.0
I Spit on Your Grave (Original) Collection,1,0.0,0.0
I due carabinieri Collecion,1,0.0,0.0
I pompieri - Collezione,1,0.0,0.0
I soliti idioti Collection,1,0.0,0.0
Stomp the Yard Collection,1,75511123.0,75511123.0
If You Are the One (Collection),1,0.0,0.0
Il medico della mutua Collection,1,0.0,0.0
Il tassinaro,1,0.0,0.0
Immaturi Collection,1,0.0,0.0
In the Line of Duty Collection,1,0.0,0.0
He Who Dares Collection,1,0.0,0.0
Hayride Collection,1,0.0,0.0
Tere Bin Laden Collection,1,0.0,0.0
God of Gamblers Collection,1,4762337.0,4762337.0
Footsoldier Collection,1,0.0,0.0
Force Collection,1,0.0,0.0
Freche Mädchen Filmreihe,1,0.0,0.0
Fred Collection,1,0.0,0.0
The Cutlass Collection,1,0.0,0.0
The Croods Collection,1,585178928.0,585178928.0
The ChubbChubbs Collection,1,0.0,0.0
Galaxy Express 999 Collection,1,0.0,0.0
Gangs of Wasseypur Collection,1,4100000.0,4100000.0
The Cheerleaders - Collection,1,0.0,0.0
Garage Sale Mystery Collection,1,0.0,0.0
The Bride with White Hair Collection,1,0.0,0.0
Glass Tiger collection,1,0.0,0.0
Golgo 13 Collection,1,0.0,0.0
Hard Time Collection,1,0.0,0.0
Gone in 60 Seconds Trilogy,1,0.0,0.0
Gonin collection,1,0.0,0.0
The Black Mask Collection,1,0.0,0.0
The Big Bottom Box,1,0.0,0.0
Goopy Bagha Trilogy,1,0.0,0.0
The August Underground Collection,1,0.0,0.0
Gumball 3000 Collection,1,0.0,0.0
Gunbuster Collection,1,0.0,0.0
The Angrez Collection,1,300000.0,300000.0
Göta kanal collection,1,0.0,0.0
Hailey Dean Mystery Collection,1,0.0,0.0
The Adventures of Mickey Matson Collection,1,0.0,0.0
The 1997 Trilogy,1,0.0,0.0
Flesh Gordon Collection,1,0.0,0.0
