productora,revenue,nro_peliculas
Jerry Bruckheimer Films,8957441075.0,26
Loew's,15034000.0,26
Isle of Man Film,50611508.0,26
La Sept Cinéma,2080046.0,26
Compagnia Cinematografica Champion,40126986.0,26
Lotte Entertainment,58120206.0,26
Rhône-Alpes Cinéma,282382.0,26
Stanley Kramer Productions,86416667.0,26
NPV Entertainment,3087208655.0,26
Sony Pictures Television,95789342.0,25
Haut et Court,44494775.0,25
XYZ Films,22279365.0,25
Propaganda Films,286584112.0,25
Castel Film Romania,245449948.0,25
"Asylum, The",0.0,25
New Wave Entertainment,45263366.0,25
Hallmark Hall of Fame Productions,0.0,25
Di Bonaventura Pictures,6428342388.0,25
Canadian Film Development Corporation (CFDC),26955554.0,25
Endgame Entertainment,448876939.0,25
Constantin Film,589300172.0,25
Good Machine,749667298.0,25
Central Partnership,65700070.0,25
Sidney Kimmel Entertainment,574694799.0,25
Oscilloscope Laboratories,13341855.0,24
Vestron Pictures,217683480.0,24
Mirage Enterprises,1671925053.0,24
Gainsborough Pictures,834332.0,24
Bac Films,251790049.0,24
Metro-Goldwyn-Mayer,0.0,24
SVT Drama,40031879.0,24
France Télévisions,74299858.0,24
Magnolia Pictures,15486544.0,24
NetFlix,97873429.0,24
Apatow Productions,2165136612.0,24
Star-Film,0.0,24
Seven Arts Productions,31197399.0,24
Recorded Picture Company (RPC),49056157.0,24
Asmik Ace Entertainment,37481240.0,24
Gold Circle Films,1212800611.0,24
Incorporated Television Company (ITC),83930144.0,24
United Artists Pictures,0.0,24
Sandrews,955401.0,24
Les Films du Carrosse,519537.0,24
Argos Films,5752906.0,24
MEDIA Programme of the European Union,22690775.0,24
Viacom Productions,0.0,23
Arts Council of England,115766400.0,23
Produzioni Europee Associati (PEA),57144000.0,23
Danmarks Radio (DR),104426155.0,23
Umedia,38822945.0,23
China Film Co-Production Corporation,1482778390.0,23
uFilm,303131749.0,23
Star Film Company,0.0,23
Phoenix Pictures,1113365773.0,23
Eon Productions,4915989899.0,23
Capitol Films,96688910.0,23
Marc Platt Productions,2023435485.0,23
Dark Castle Entertainment,716890711.0,23
The Hallmark Channel,0.0,22
Icon Entertainment International,1189208060.0,22
20th Century Fox Television,42000000.0,22
Art Theatre Guild,0.0,22
Rysher Entertainment,280528446.0,22
Union Générale Cinématographique (UGC),214251362.0,22
Cannon Films,114153505.0,22
Mars Films,1978168.0,22
Emperor Motion Pictures,86351005.0,22
Polski Instytut Sztuki Filmowej,63993329.0,22
Lifetime Television,0.0,22
Studio 4°C,95789342.0,22
Vertigo Films,36865238.0,22
Rankin/Bass Productions,18455530.0,22
Film Victoria,73623132.0,22
Alliance Atlantis Communications,169241088.0,22
Muse Entertainment Enterprises,15304890.0,21
IFC Films,69267288.0,21
Hal Wallis Productions,11022000.0,21
Rizzoli Film,0.0,21
